TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DSA-I: Applications of Lists: Polynomial manipulation. ,,,,,,2023-09-26,,
task,Math-I: Proof methods and strategy,,,,,,2023-09-26,,
task,Eng-I: The basic requirements,,,,,,2023-09-27,,
task,DD-I: Simplification of Boolean Functions using Karnaugh Map,,,,,,2023-09-27,,
task,DD-I: Logic Gates,,,,,,2023-09-28,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters.",,,,,,2023-09-28,,
task,OOP-I: Object Construction and Destruction,,,,,,2023-09-28,,
task,DSA-II: Stack ADT: Stack model,,,,,,2023-09-29,,
task,Math-I: Normal forms,,,,,,2023-09-29,,
task,Eng-I: Understanding Happiness and Prosperity,,,,,,2023-09-30,,
task,OOP-I: Fundamental programming structures in Java,,,,,,2023-09-30,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application),,,,,,2023-10-01,,
task,Eng-I: A critical appraisal of the current scenario,,,,,,2023-10-01,,
task,DSA-II: Implementation of stacks,,,,,,2023-10-01,,
task,OOP-I: Streams: Input,,,,,,2023-10-02,,
task,Math-I: Applications to switching circuits. ,,,,,,2023-10-02,,
task,DD-I: NAND and NOR Implementations. ,,,,,,2023-10-03,,
task,Eng-I: Method to fulfil the above human aspirations,,,,,,2023-10-03,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression)",,,,,,2023-10-04,,
task,Eng-I: UNDERSTANDING and living in harmony at various levels. ,,,,,,2023-10-04,,
task,Math-II: Mathematical induction,,,,,,2023-10-05,,
task,DSA-II: Applications: Balancing symbols,,,,,,2023-10-05,,
task,DD-II: Combinational Circuits,,,,,,2023-10-05,,
task,OOP-I: Output,,,,,,2023-10-06,,
task,Eng-II: An understanding human being as a co-existence of the sentient ‘I’ and the material ‘Body’,,,,,,2023-10-06,,
task,OOP-I: String handling,,,,,,2023-10-07,,
task,DSA-II: Infix to postfix conversion,,,,,,2023-10-07,,
task,DD-II: Analysis and Design Procedures,,,,,,2023-10-08,,
task,Eng-II: Understanding the needs of Self (‘I’) and ‘Body’,,,,,,2023-10-08,,
task,Math-II: Strong induction,,,,,,2023-10-08,,
task,DD Lab: 3. Design and implement half/full adder and subtractor.,,,,,,2023-10-09,,
task,OOP-I: Examples in Java. ,,,,,,2023-10-09,,
task,DD-II: Binary Adder,,,,,,2023-10-10,,
task,Eng-II: Sukh and Suvidha,,,,,,2023-10-10,,
task,Math-II: The pigeonhole principle,,,,,,2023-10-11,,
task,DSA-II: Evaluating postfix expressions,,,,,,2023-10-11,,
task,DD-II: Subtractor,,,,,,2023-10-12,,
task,Eng-II: Understanding the Body as an instrument of ‘I’ (I being the doer,,,,,,2023-10-12,,
task,OOP-II: Inheritance: Definition,,,,,,2023-10-12,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs),,,,,,2023-10-13,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes),,,,,,2023-10-13,,
task,OOP-II: Types of inheritance: Single,,,,,,2023-10-14,,
task,Eng-II: seer and enjoyer),,,,,,2023-10-14,,
task,DSA-II: Function calls,,,,,,2023-10-15,,
task,Math-II: Recurrence relations,,,,,,2023-10-15,,
task,OOP-II: Multilevel,,,,,,2023-10-15,,
task,DD-II: Decimal Adder,,,,,,2023-10-16,,
task,Eng-II: Understanding the characteristics and activities of ‘I’ and harmony in ‘I’,,,,,,2023-10-16,,
task,DSA-II: Queue ADT: Queue model,,,,,,2023-10-17,,
task,OOP-II: Multiple,,,,,,2023-10-17,,
task,Math-II: Partition of integers,,,,,,2023-10-18,,
task,Eng-II: Understanding the harmony of I with the Body: Sanyam and Swasthya,,,,,,2023-10-18,,
task,DD-II: Binary Multiplier,,,,,,2023-10-19,,
task,Math-II: Solving linear recurrence relations using generating functions,,,,,,2023-10-19,,
task,Eng-II: correct appraisal of Physical needs,,,,,,2023-10-19,,
task,OOP-II: Hierarchical,,,,,,2023-10-20,,
task,DSA-II: Array implementation of queues,,,,,,2023-10-20,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers",,,,,,2023-10-21,,
task,DD-II: Magnitude Comparator,,,,,,2023-10-21,,
task,Eng-II: the meaning of Prosperity in detail,,,,,,2023-10-22,,
task,OOP-II: Subclass constructors,,,,,,2023-10-22,,
task,Math-II: Inclusion and Exclusion Principle and its applications. ,,,,,,2023-10-22,,
task,Eng-II: Pro- grams to ensure Sanyam and Swasthya. ,,,,,,2023-10-23,,
task,DSA-II: Applications of queues. ,,,,,,2023-10-23,,
task,"DSA Lab: 5. Implement binary search tree and produce its pre-order, in-order, and post-order traversals",,,,,,2023-10-24,,
task,DD-II: Decoders,,,,,,2023-10-24,,
task,OOP-II: Interfaces in Java: Definition,,,,,,2023-10-25,,
task,Eng-III: Understanding harmony in the family,,,,,,2023-10-25,,
task,OOP-II: Implementation,,,,,,2023-10-26,,
task,Math-III: Graphs,,,,,,2023-10-26,,
task,DSA-III: Preliminaries,,,,,,2023-10-26,,
task,"OOP Lab: 4. Design a Java interface for ADTs. (E.g. Stack, Queue)",,,,,,2023-10-27,,
task,DD-II: Encoders,,,,,,2023-10-27,,
task,Eng-III: The basic unit of human interaction,,,,,,2023-10-28,,
task,OOP-II: Extending interfaces,,,,,,2023-10-28,,
task,DSA-III: Binary trees: Expression trees,,,,,,2023-10-29,,
task,Math-III: Graph terminology and special types of graphs,,,,,,2023-10-29,,
task,Eng-III: understanding values in a human-to-human relationship,,,,,,2023-10-29,,
task,DD-II: Multiplexers,,,,,,2023-10-30,,
task,OOP-II: Inheritance versus delegation,,,,,,2023-10-30,,
task,Eng-III: Understanding Trust,,,,,,2023-10-31,,
task,Math-III: Subgraphs,,,,,,2023-10-31,,
task,DD-II: Introduction to HDL,,,,,,2023-11-01,,
task,Eng-III: The foundational value in relationship,,,,,,2023-11-01,,
task,DSA Lab: 6. Implement AVL trees (e.g Implement dictionary),,,,,,2023-11-02,,
task,DD Lab: 5. Design and implement shift-registers.,,,,,,2023-11-02,,
task,DSA-III: Binary search tree ADT,,,,,,2023-11-02,,
task,Eng-III: Difference between intention and competence,,,,,,2023-11-03,,
task,OOP-II: Inheritance rules,,,,,,2023-11-03,,
task,OOP-II: Inner classes,,,,,,2023-11-04,,
task,DD-II: HDL Models of Combinational circuits. ,,,,,,2023-11-04,,
task,Math-III: Matrix representation of graphs and graph isomorphism,,,,,,2023-11-05,,
task,Eng-III: Understanding Respect,,,,,,2023-11-05,,
task,DSA-III: AVL trees,,,,,,2023-11-05,,
task,OOP-II: Examples in Java. ,,,,,,2023-11-06,,
task,DD-III: Sequential Circuits,,,,,,2023-11-06,,
task,Eng-III: as the right evaluation,,,,,,2023-11-07,,
task,Math-III: Connectivity,,,,,,2023-11-07,,
task,OOP Lab: 5. Programs using Exception handling. (E.g. Bank Account manipulation),,,,,,2023-11-08,,
task,OOP-III: Polymorphism: Method overloading and overriding,,,,,,2023-11-08,,
task,DSA-III: Tree traversals,,,,,,2023-11-09,,
task,Eng-III: Difference between respect and differentiation,,,,,,2023-11-09,,
task,DD-III: Storage Elements: Latches,,,,,,2023-11-09,,
task,DSA Lab: 7. Implement priority queue using binary heaps (e.g Storing employee records based upon salary),,,,,,2023-11-10,,
task,OOP-III: Dynamic method dispatch,,,,,,2023-11-10,,
task,DSA-III: B- Trees,,,,,,2023-11-11,,
task,Math-III: Eulerian and Hamilton graphs. ,,,,,,2023-11-11,,
task,Eng-III: the other salient values in a relationship,,,,,,2023-11-12,,
task,OOP-III: Exceptions: Hierarchy,,,,,,2023-11-12,,
task,DD Lab: 6. Design and implement synchronous counters.,,,,,,2023-11-12,,
task,Eng-III: Understanding the harmony in the society,,,,,,2023-11-13,,
task,DD-III: Flip,,,,,,2023-11-13,,
task,Math-IV: Algebraic systems,,,,,,2023-11-14,,
task,OOP-III: Built-in exceptions,,,,,,2023-11-14,,
task,DSA-III: Priority Queues: Binary heap. ,,,,,,2023-11-15,,
task,Eng-III: comprehensive Human Goals,,,,,,2023-11-15,,
task,DD-III: Flops,,,,,,2023-11-16,,
task,Eng-III: Visualizing a universal harmonious order in society,,,,,,2023-11-16,,
task,DSA-IV: Graph Algorithms: Definitions,,,,,,2023-11-16,,
task,OOP-III: Creating own exception,,,,,,2023-11-17,,
task,Math-IV: Semi groups and monoids,,,,,,2023-11-17,,
task,Eng-III: Undivided Society,,,,,,2023-11-18,,
task,DD-III: Analysis of Clocked Sequential Circuits,,,,,,2023-11-18,,
task,OOP-III: Packages in Java,,,,,,2023-11-19,,
task,DSA-IV: Representation of graphs,,,,,,2023-11-19,,
task,Math-IV: Groups,,,,,,2023-11-19,,
task,Eng-III: Universal Order,,,,,,2023-11-20,,
task,OOP-III: Examples in Java. ,,,,,,2023-11-20,,
task,OOP Lab: 6. Program to implement packages (Eg: Currency converter),,,,,,2023-11-21,,
task,DD-III: State Reduction and Assignment,,,,,,2023-11-21,,
task,DSA Lab: 8. Graph representation and implement graph traversal algorithms,,,,,,2023-11-22,,
task,Eng-III: From family to world family! ,,,,,,2023-11-22,,
task,Math-IV: Subgroups Homomorphisms,,,,,,2023-11-23,,
task,DSA-IV: Graph Traversals: Breadth-first traversal,,,,,,2023-11-23,,
task,OOP-IV: Definition and concepts: Generic classes and generic methods,,,,,,2023-11-23,,
task,DD-III: Design Procedure,,,,,,2023-11-24,,
task,Eng-IV: Understanding the harmony in Nature,,,,,,2023-11-24,,
task,DD Lab: 7. Design and implement asynchronous counters.,,,,,,2023-11-25,,
task,OOP-IV: Generic types,,,,,,2023-11-25,,
task,DD-III: Registers and Counters,,,,,,2023-11-26,,
task,Eng-IV: Interconnectedness,,,,,,2023-11-26,,
task,Math-IV: Normal subgroup and coset,,,,,,2023-11-26,,
task,DSA-IV: Depth-first traversal,,,,,,2023-11-27,,
task,OOP-IV: Restrictions and limitations,,,,,,2023-11-27,,
task,Eng-IV: self-regulation and mutual fulfilment among the four orders of nature,,,,,,2023-11-28,,
task,DSA-IV: Topological sort,,,,,,2023-11-28,,
task,Math-IV: Lagrange’s theorem,,,,,,2023-11-29,,
task,DD-III: HDL Models of Sequential Circuits. ,,,,,,2023-11-29,,
task,OOP-IV: Inheritance rules for generic types,,,,,,2023-11-30,,
task,Eng-IV: recyclability,,,,,,2023-11-30,,
task,Eng-IV: Understanding Existence as Coexistence of mutually interacting units in all-pervasive space,,,,,,2023-11-30,,
task,OOP-IV: Reflections,,,,,,2023-12-01,,
task,DSA Lab: 9. Implement Dijkstra’s algorithm using graph (e.g Find the shortest route to connect one city to another),,,,,,2023-12-01,,
task,DSA-IV: Shortest-Path Algorithms: Dijkstra’s algorithm,,,,,,2023-12-02,,
task,DD-IV: Analysis and Design of Asynchronous Sequential Circuits,,,,,,2023-12-02,,
task,Math-IV: Definitions and examples of Rings and Fields. ,,,,,,2023-12-03,,
task,Eng-IV: Holistic perception of harmony at all levels of existence. ,,,,,,2023-12-03,,
task,OOP-IV: Examples in Java. ,,,,,,2023-12-03,,
task,"OOP Lab: 7. Program to implement generic classes, methods (Eg: Generic stack, Sorting)",,,,,,2023-12-04,,
task,DD-IV: Reduction of State and Flow Tables,,,,,,2023-12-04,,
task,Math-V: Partial ordering,,,,,,2023-12-05,,
task,DSA-IV: All-pairs shortest path. ,,,,,,2023-12-05,,
task,Eng-V: Natural acceptance of human values,,,,,,2023-12-06,,
task,DD Lab: 8. Coding combinational circuits using HDL.,,,,,,2023-12-06,,
task,OOP-V: ALGORITHMS 9 Introduction to collections,,,,,,2023-12-07,,
task,Eng-V: Definitiveness of Ethical Human Conduct,,,,,,2023-12-07,,
task,DD-IV: Race-free State Assignment,,,,,,2023-12-07,,
task,Math-V: Posets,,,,,,2023-12-08,,
task,OOP-V: Collection Classes and Interfaces: Array list,,,,,,2023-12-08,,
task,Eng-V: Basis for Humanistic Education,,,,,,2023-12-09,,
task,DSA-V: Sorting: Insertion sort,,,,,,2023-12-09,,
task,DD-IV: Hazards. ,,,,,,2023-12-10,,
task,OOP-V: Linked list,,,,,,2023-12-10,,
task,DSA Lab: 10. Implement any two sorting algorithms,,,,,,2023-12-10,,
task,Math-V: Lattices as Posets,,,,,,2023-12-11,,
task,DSA-V: Shell sort,,,,,,2023-12-11,,
task,Eng-V: Humanistic Constitution and Humanistic Universal Order,,,,,,2023-12-12,,
task,OOP-V: Queue,,,,,,2023-12-12,,
task,DD-V: RAM,,,,,,2023-12-13,,
task,Eng-V: Competence in Professional Ethics,,,,,,2023-12-13,,
task,Math-V: Properties of lattices,,,,,,2023-12-14,,
task,OOP-V: Set,,,,,,2023-12-14,,
task,DSA-V: Radix Exchange sort,,,,,,2023-12-14,,
task,Eng-V: augmenting universal human order,,,,,,2023-12-15,,
task,DD-V: Memory Decoding,,,,,,2023-12-15,,
task,OOP-V: Trees,,,,,,2023-12-16,,
task,Eng-V: the scope and characteristics of people-friendly and eco-friendly,,,,,,2023-12-16,,
task,DSA-V: Hashing: Hash function,,,,,,2023-12-17,,
task,"OOP Lab: 8. Program to perform operations using Collection classes (Eg: ArrayList, LinkedList)",,,,,,2023-12-17,,
task,Math-V: Lattices as algebraic systems,,,,,,2023-12-17,,
task,DD-V: Error Detection and Correction,,,,,,2023-12-18,,
task,Eng-V: Holistic Technologies,,,,,,2023-12-18,,
task,DD Lab: 9. Coding sequential circuits using HDL.,,,,,,2023-12-19,,
task,OOP-V: Iterators for collections,,,,,,2023-12-19,,
task,Eng-V: production systems and management models,,,,,,2023-12-20,,
task,DSA-V: Separate chaining,,,,,,2023-12-20,,
task,Math-V: Sublattices,,,,,,2023-12-21,,
task,DSA Lab: 11. Implement hashing using separate chaining technique,,,,,,2023-12-21,,
task,OOP-V: Map class,,,,,,2023-12-21,,
task,DD-V: ROM,,,,,,2023-12-22,,
task,Eng-V: Case studies,,,,,,2023-12-22,,
task,DSA-V: Open addressing,,,,,,2023-12-23,,
task,OOP-V: Collection algorithms: Sorting,,,,,,2023-12-23,,
task,Math-V: Direct product and Homomorphism,,,,,,2023-12-24,,
task,Eng-V: Strategy for the transition from the present state to Universal Human Order,,,,,,2023-12-24,,
task,DD-V: Programmable Logic Array,,,,,,2023-12-24,,
task,OOP-V: Searching,,,,,,2023-12-25,,
task,Math-V: Boolean algebra,,,,,,2023-12-25,,
task,Eng-V: At the level of individual: as socially and ecologically responsible engineers,,,,,,2023-12-26,,
task,DSA-V: Rehashing,,,,,,2023-12-26,,
task,OOP-V: User-defined algorithms,,,,,,2023-12-27,,
task,DD-V: Programmable Array Logic,,,,,,2023-12-27,,
task,Eng-V: technologists and managers,,,,,,2023-12-28,,
task,Math-V: Stone’s representation Theorem. ,,,,,,2023-12-28,,
task,Eng-V: At the level of society: as mutually enriching institutions and organizations. ,,,,,,2023-12-28,,
task,DD Lab: 10. Design and implementation of a simple digital system (Mini Project).,,,,,,2023-12-29,,
task,DSA-V: Extendible hashing. ,,,,,,2023-12-29,,
task,OOP-V: Examples in Java. ,,,,,,2023-12-30,,
task,DD-V: Sequential Programmable Devices. ,,,,,,2023-12-30,,
task,DSA Lab: 12. Mini Project,,,,,,2023-12-31,,
task,OOP Lab: 9. Develop a mini project for any application using the constructs of Java.,,,,,,2023-12-31,,
