TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,OOP-II: Extending interfaces,,,,,,2023-10-22,en,
task,Eng-III: understanding values in a human-to-human relationship,,,,,,2023-10-23,en,
task,DSA-III: Binary trees: Expression trees,,,,,,2023-10-23,en,
task,Math-III: Graph terminology and special types of graphs,,,,,,2023-10-24,en,
task,OOP-II: Inheritance versus delegation,,,,,,2023-10-24,en,
task,DD-II: Multiplexers,,,,,,2023-10-24,en,
task,Eng-III: Understanding Trust,,,,,,2023-10-25,en,
task,DSA-III: Binary search tree ADT,,,,,,2023-10-25,en,
task,DSA Lab: 6. Implement AVL trees (e.g Implement dictionary),,,,,,2023-10-26,en,
task,Math-III: Subgraphs,,,,,,2023-10-26,en,
task,DD-II: Introduction to HDL,,,,,,2023-10-26,en,
task,Eng-III: The foundational value in relationship,,,,,,2023-10-27,en,
task,OOP-II: Inheritance rules,,,,,,2023-10-27,en,
task,DD Lab: 5. Design and implement shift-registers.,,,,,,2023-10-27,en,
task,DD-II: HDL Models of Combinational circuits. ,,,,,,2023-10-28,en,
task,OOP-II: Inner classes,,,,,,2023-10-28,en,
task,Eng-III: Difference between intention and competence,,,,,,2023-10-29,en,
task,DSA-III: AVL trees,,,,,,2023-10-29,en,
task,Math-III: Matrix representation of graphs and graph isomorphism,,,,,,2023-10-29,en,
task,Eng-III: Understanding Respect,,,,,,2023-10-30,en,
task,OOP-II: Examples in Java. ,,,,,,2023-10-30,en,
task,Math-III: Connectivity,,,,,,2023-10-30,en,
task,Eng-III: as the right evaluation,,,,,,2023-10-31,en,
task,DSA-III: Tree traversals,,,,,,2023-10-31,en,
task,DD-III: Sequential Circuits,,,,,,2023-11-01,en,
task,OOP-III: Polymorphism: Method overloading and overriding,,,,,,2023-11-01,en,
task,OOP Lab: 5. Programs using Exception handling. (E.g. Bank Account manipulation),,,,,,2023-11-01,en,
task,DD-III: Storage Elements: Latches,,,,,,2023-11-02,en,
task,Eng-III: Difference between respect and differentiation,,,,,,2023-11-02,en,
task,DSA Lab: 7. Implement priority queue using binary heaps (e.g Storing employee records based upon salary),,,,,,2023-11-03,en,
task,DSA-III: B- Trees,,,,,,2023-11-03,en,
task,OOP-III: Dynamic method dispatch,,,,,,2023-11-03,en,
task,Eng-III: the other salient values in a relationship,,,,,,2023-11-04,en,
task,Math-III: Eulerian and Hamilton graphs. ,,,,,,2023-11-04,en,
task,OOP-III: Exceptions: Hierarchy,,,,,,2023-11-04,en,
task,DD-III: Flip,,,,,,2023-11-05,en,
task,Eng-III: Understanding the harmony in the society,,,,,,2023-11-05,en,
task,DD Lab: 6. Design and implement synchronous counters.,,,,,,2023-11-06,en,
task,Math-IV: Algebraic systems,,,,,,2023-11-06,en,
task,Eng-III: comprehensive Human Goals,,,,,,2023-11-06,en,
task,DSA-III: Priority Queues: Binary heap. ,,,,,,2023-11-07,en,
task,OOP-III: Built-in exceptions,,,,,,2023-11-07,en,
task,DD-III: Flops,,,,,,2023-11-07,en,
task,Eng-III: Visualizing a universal harmonious order in society,,,,,,2023-11-08,en,
task,DSA-IV: Graph Algorithms: Definitions,,,,,,2023-11-08,en,
task,OOP-III: Creating own exception,,,,,,2023-11-09,en,
task,DD-III: Analysis of Clocked Sequential Circuits,,,,,,2023-11-09,en,
task,Math-IV: Semi groups and monoids,,,,,,2023-11-09,en,
task,Eng-III: Undivided Society,,,,,,2023-11-10,en,
task,OOP-III: Packages in Java,,,,,,2023-11-10,en,
task,Math-IV: Groups,,,,,,2023-11-11,en,
task,DSA-IV: Representation of graphs,,,,,,2023-11-11,en,
task,Eng-III: Universal Order,,,,,,2023-11-11,en,
task,DD-III: State Reduction and Assignment,,,,,,2023-11-12,en,
task,DSA Lab: 8. Graph representation and implement graph traversal algorithms,,,,,,2023-11-12,en,
task,OOP Lab: 6. Program to implement packages (Eg: Currency converter),,,,,,2023-11-12,en,
task,OOP-III: Examples in Java. ,,,,,,2023-11-13,en,
task,Eng-III: From family to world family! ,,,,,,2023-11-13,en,
task,OOP-IV: Definition and concepts: Generic classes and generic methods,,,,,,2023-11-14,en,
task,DSA-IV: Graph Traversals: Breadth-first traversal,,,,,,2023-11-14,en,
task,Math-IV: Subgroups Homomorphisms,,,,,,2023-11-14,en,
task,DD Lab: 7. Design and implement asynchronous counters.,,,,,,2023-11-15,en,
task,DD-III: Design Procedure,,,,,,2023-11-15,en,
task,Eng-IV: Understanding the harmony in Nature,,,,,,2023-11-15,en,
task,Math-IV: Normal subgroup and coset,,,,,,2023-11-16,en,
task,DSA-IV: Depth-first traversal,,,,,,2023-11-16,en,
task,OOP-IV: Generic types,,,,,,2023-11-17,en,
task,Eng-IV: Interconnectedness,,,,,,2023-11-17,en,
task,OOP-IV: Restrictions and limitations,,,,,,2023-11-17,en,
task,DD-III: Registers and Counters,,,,,,2023-11-18,en,
task,Eng-IV: self-regulation and mutual fulfilment among the four orders of nature,,,,,,2023-11-18,en,
task,DD-III: HDL Models of Sequential Circuits. ,,,,,,2023-11-19,en,
task,DSA-IV: Topological sort,,,,,,2023-11-19,en,
task,Eng-IV: recyclability,,,,,,2023-11-19,en,
task,OOP-IV: Inheritance rules for generic types,,,,,,2023-11-20,en,
task,Math-IV: Lagrange’s theorem,,,,,,2023-11-20,en,
task,DSA Lab: 9. Implement Dijkstra’s algorithm using graph (e.g Find the shortest route to connect one city to another),,,,,,2023-11-20,en,
task,DD-IV: Analysis and Design of Asynchronous Sequential Circuits,,,,,,2023-11-21,en,
task,OOP-IV: Reflections,,,,,,2023-11-21,en,
task,DSA-IV: Shortest-Path Algorithms: Dijkstra’s algorithm,,,,,,2023-11-22,en,
task,Math-IV: Definitions and examples of Rings and Fields. ,,,,,,2023-11-22,en,
task,Eng-IV: Understanding Existence as Coexistence of mutually interacting units in all-pervasive space,,,,,,2023-11-22,en,
task,Eng-IV: Holistic perception of harmony at all levels of existence. ,,,,,,2023-11-23,en,
task,"OOP Lab: 7. Program to implement generic classes, methods (Eg: Generic stack, Sorting)",,,,,,2023-11-23,en,
task,OOP-IV: Examples in Java. ,,,,,,2023-11-23,en,
task,DD-IV: Reduction of State and Flow Tables,,,,,,2023-11-24,en,
task,Math-V: Partial ordering,,,,,,2023-11-24,en,
task,DSA-IV: All-pairs shortest path. ,,,,,,2023-11-25,en,
task,Eng-V: Natural acceptance of human values,,,,,,2023-11-25,en,
task,DD Lab: 8. Coding combinational circuits using HDL.,,,,,,2023-11-25,en,
task,OOP-V: ALGORITHMS 9 Introduction to collections,,,,,,2023-11-26,en,
task,Eng-V: Definitiveness of Ethical Human Conduct,,,,,,2023-11-26,en,
task,DD-IV: Race-free State Assignment,,,,,,2023-11-27,en,
task,Math-V: Posets,,,,,,2023-11-27,en,
task,DSA-V: Sorting: Insertion sort,,,,,,2023-11-27,en,
task,Eng-V: Basis for Humanistic Education,,,,,,2023-11-28,en,
task,Eng-V: Humanistic Constitution and Humanistic Universal Order,,,,,,2023-11-28,en,
task,OOP-V: Collection Classes and Interfaces: Array list,,,,,,2023-11-28,en,
task,DD-IV: Hazards. ,,,,,,2023-11-29,en,
task,OOP-V: Linked list,,,,,,2023-11-29,en,
task,DSA Lab: 10. Implement any two sorting algorithms,,,,,,2023-11-30,en,
task,Math-V: Lattices as Posets,,,,,,2023-11-30,en,
task,DSA-V: Shell sort,,,,,,2023-11-30,en,
task,OOP-V: Queue,,,,,,2023-12-01,en,
task,DD-V: RAM,,,,,,2023-12-01,en,
task,Eng-V: Competence in Professional Ethics,,,,,,2023-12-01,en,
task,Math-V: Properties of lattices,,,,,,2023-12-02,en,
task,DSA-V: Radix Exchange sort,,,,,,2023-12-02,en,
task,OOP-V: Set,,,,,,2023-12-03,en,
task,Eng-V: augmenting universal human order,,,,,,2023-12-03,en,
task,DD-V: Memory Decoding,,,,,,2023-12-03,en,
task,OOP-V: Trees,,,,,,2023-12-04,en,
task,Eng-V: the scope and characteristics of people-friendly and eco-friendly,,,,,,2023-12-04,en,
task,Math-V: Lattices as algebraic systems,,,,,,2023-12-05,en,
task,"OOP Lab: 8. Program to perform operations using Collection classes (Eg: ArrayList, LinkedList)",,,,,,2023-12-05,en,
task,DSA-V: Hashing: Hash function,,,,,,2023-12-05,en,
task,DD Lab: 9. Coding sequential circuits using HDL.,,,,,,2023-12-06,en,
task,OOP-V: Iterators for collections,,,,,,2023-12-06,en,
task,Eng-V: Holistic Technologies,,,,,,2023-12-06,en,
task,DD-V: Error Detection and Correction,,,,,,2023-12-07,en,
task,DSA Lab: 11. Implement hashing using separate chaining technique,,,,,,2023-12-07,en,
task,Eng-V: production systems and management models,,,,,,2023-12-08,en,
task,DSA-V: Separate chaining,,,,,,2023-12-08,en,
task,Math-V: Sublattices,,,,,,2023-12-08,en,
task,DD-V: ROM,,,,,,2023-12-09,en,
task,OOP-V: Map class,,,,,,2023-12-09,en,
task,Eng-V: Case studies,,,,,,2023-12-09,en,
task,DSA-V: Open addressing,,,,,,2023-12-10,en,
task,OOP-V: Collection algorithms: Sorting,,,,,,2023-12-10,en,
task,DD-V: Programmable Logic Array,,,,,,2023-12-11,en,
task,Math-V: Direct product and Homomorphism,,,,,,2023-12-11,en,
task,Eng-V: Strategy for the transition from the present state to Universal Human Order,,,,,,2023-12-11,en,
task,Eng-V: At the level of individual: as socially and ecologically responsible engineers,,,,,,2023-12-12,en,
task,OOP-V: Searching,,,,,,2023-12-12,en,
task,Math-V: Boolean algebra,,,,,,2023-12-13,en,
task,DD-V: Programmable Array Logic,,,,,,2023-12-13,en,
task,DSA-V: Rehashing,,,,,,2023-12-13,en,
task,Eng-V: technologists and managers,,,,,,2023-12-14,en,
task,OOP-V: User-defined algorithms,,,,,,2023-12-14,en,
task,Math-V: Stone’s representation Theorem. ,,,,,,2023-12-14,en,
task,Eng-V: At the level of society: as mutually enriching institutions and organizations. ,,,,,,2023-12-15,en,
task,DD Lab: 10. Design and implementation of a simple digital system (Mini Project).,,,,,,2023-12-15,en,
task,OOP-V: Examples in Java. ,,,,,,2023-12-16,en,
task,DSA-V: Extendible hashing. ,,,,,,2023-12-16,en,
task,DD-V: Sequential Programmable Devices. ,,,,,,2023-12-16,en,
task,DSA Lab: 12. Mini Project,,,,,,2023-12-17,en,
task,OOP Lab: 9. Develop a mini project for any application using the constructs of Java.,,,,,,2023-12-17,en,
